magx,magy,magz
0.6069,-0.7344,-0.3038
0.4682,-0.5603,-0.6832
0.4682,-0.5603,-0.6832
0.1539,-0.0477,-0.9869
-0.0785,0.3698,-0.9258
-0.3819,0.0235,-0.9239
0.2748,-0.9452,-0.1765
0.2748,-0.9452,-0.1765
0.2748,-0.9452,-0.1765
0.7062,-0.2229,-0.672
0.3564,-0.0979,-0.9292
-0.1165,-0.1255,-0.9852
-0.1165,-0.1255,-0.9852
-0.3503,-0.2812,-0.8934
-0.3586,-0.3877,-0.8492
-0.3435,-0.6434,-0.6842
-0.3156,-0.7931,-0.5209
-0.3156,-0.7931,-0.5209
-0.1224,-0.9465,-0.2984
0.2301,-0.9578,-0.1725
0.5484,-0.8232,-0.147
0.7921,-0.557,-0.2497
0.7921,-0.557,-0.2497
0.8248,-0.2885,-0.4863
0.6576,-0.1585,-0.7365
0.3661,-0.194,-0.9101
0.0179,-0.2701,-0.9627
0.0179,-0.2701,-0.9627
-0.1725,-0.4239,-0.8891
-0.2197,-0.4567,-0.8621
-0.2227,-0.5045,-0.8342
-0.2533,-0.5694,-0.782
-0.2533,-0.5694,-0.782
-0.265,-0.6091,-0.7475
-0.2894,-0.6409,-0.711
-0.299,-0.7302,-0.6144
-0.2946,-0.829,-0.4753
-0.2946,-0.829,-0.4753
-0.1838,-0.9222,-0.3402
0.0231,-0.9746,-0.2229
0.1708,-0.9575,-0.2324
0.503,-0.8323,-0.2329
0.503,-0.8323,-0.2329
0.9076,-0.3182,-0.274
0.8588,-0.1477,-0.4906
0.6397,-0.1408,-0.7556
0.1655,-0.2966,-0.9406
0.1655,-0.2966,-0.9406
-0.1981,-0.4382,-0.8768
-0.3047,-0.4502,-0.8393
-0.321,-0.4509,-0.8329
-0.3385,-0.4715,-0.8143
-0.3385,-0.4715,-0.8143
-0.3438,-0.5034,-0.7927
-0.3795,-0.6087,-0.6968
-0.3789,-0.7918,-0.4791
-0.3789,-0.7918,-0.4791
-0.3789,-0.7918,-0.4791
0.4778,-0.8748,-0.0807
0.8491,-0.4443,-0.2856
0.6634,-0.2073,-0.719
0.6634,-0.2073,-0.719
0.3417,-0.2011,-0.918
0.0331,-0.2595,-0.9652
-0.2143,-0.3569,-0.9092
-0.3655,-0.5083,-0.7798
-0.3655,-0.5083,-0.7798
-0.3942,-0.5209,-0.7571
-0.4101,-0.4734,-0.7796
-0.4386,-0.468,-0.7672
-0.4511,-0.4753,-0.7554
-0.4511,-0.4753,-0.7554
-0.4297,-0.5283,-0.7323
-0.4309,-0.6233,-0.6526
-0.3682,-0.7873,-0.4945
-0.2173,-0.9116,-0.349
-0.2173,-0.9116,-0.349
0.1225,-0.9797,-0.1585
0.5632,-0.8169,-0.1242
0.7461,-0.5109,-0.4269
0.4745,-0.3422,-0.811
0.4745,-0.3422,-0.811
-0.0656,-0.409,-0.9102
-0.3396,-0.6412,-0.6881
-0.3132,-0.8067,-0.501
-0.2769,-0.8335,-0.478
-0.2769,-0.8335,-0.478
-0.2455,-0.8431,-0.4785
-0.1139,-0.9467,-0.3012
0.2941,-0.9502,-0.1028
0.8403,-0.4865,-0.239
0.8403,-0.4865,-0.239
0.6363,0.1428,-0.7581
0.1725,-0.0468,-0.9839
-0.0372,-0.622,-0.7821
0.0746,-0.9041,-0.4208
0.0746,-0.9041,-0.4208
0.2825,-0.9199,-0.2722
0.3427,-0.898,-0.276
0.3117,-0.9266,-0.2106
0.2045,-0.9518,-0.2286
0.2045,-0.9518,-0.2286
-0.183,-0.7256,-0.6634
-0.1275,0.3905,-0.9118
0.1992,-0.1038,-0.9745
0.2918,-0.7432,-0.6021
0.2918,-0.7432,-0.6021
0.0911,-0.9412,-0.3254
-0.3931,-0.6777,-0.6215
-0.2987,-0.1587,-0.9411
0.1021,-0.1566,-0.9824
0.1021,-0.1566,-0.9824
0.5185,-0.2224,-0.8256
0.7382,-0.4709,-0.483
0.6001,-0.7598,-0.25
0.2929,-0.8815,-0.3704
0.1319,-0.7787,-0.6133
0.1319,-0.7787,-0.6133
0.1534,-0.4908,-0.8576
0.3027,-0.0727,-0.9503
0.3027,-0.0727,-0.9503
0.4735,0.2421,-0.8469
0.4735,0.2421,-0.8469
0.4864,0.2792,-0.8279
0.5326,0.3132,-0.7863
0.647,0.3068,-0.698
0.7922,0.2142,-0.5714
0.7922,0.2142,-0.5714
0.8207,-0.3705,-0.435
0.4524,-0.8468,-0.2798
0.1703,-0.9575,-0.2328
0.0937,-0.8873,-0.4515
0.0937,-0.8873,-0.4515
0.1514,-0.63,-0.7617
0.2077,-0.1572,-0.9655
0.2525,0.271,-0.9289
